course_number,course_title
ANTHRO 301,Professional Training: Teaching
ANTHRO 375,Graduate Pedagogy Seminar
ANTHRO 602,Individual Study for Doctoral Students
AST C210,X-rays and Extreme Ultraviolet Radiation
AST C225,Thin-Film Science and Technology
AST C239,Partially Ionized Plasmas
AST C295R,Applied Spectroscopy
AST 299,Individual Study or Research
ARABIC 1A,Elementary Arabic
ARABIC 1B,Elementary Arabic
ARABIC 11,Arabic for Reading Knowledge
ARABIC 15,Spoken Arabic
ARABIC 15B,Spoken Arabic
ARABIC 20A,Intermediate Arabic
ARABIC 20B,Intermediate Arabic
ARABIC 30,Intermediate Arabic
ARABIC 50,Advanced Arabic
ARABIC 100A,Advanced Arabic
ARABIC 100B,Advanced Arabic
ARABIC 104A,Modern Arabic Prose
ARABIC 104B,Classical Arabic Prose
ARABIC 105A,Modern Arabic Poetry
ARABIC 105B,Classical Arabic Poetry
ARABIC 107,Arabic Historical and Geographical Texts
ARABIC 108,Islamic Religious and Philosophical Texts in Arabic
ARABIC 111A,Survey of Arabic Literature (in Arabic)
ARABIC 111B,Survey of Arabic Literature (in Arabic)
ARABIC 115B,Colloquial Arabic
ARABIC H195,Senior Honors
ARABIC 198,Directed Group Study for Upper Division Students
ARABIC 199,Supervised Independent Study and Research
ARABIC 200,Arabic Grammatical Tradition
ARABIC 202,History of Arabic
ARABIC 212,Topics in Modern Arabic Literature: Poetry
ARABIC 220,Seminar in Classical Arabic Literature
ARABIC 245,Seminar: Modernist Arabic Poetics
ARABIC 298,Seminar
ARCH 11A,Introduction to Visual Representation and Drawing
ARCH 11B,Introduction to Design
ARCH 24,Freshman Seminars
ARCH 39A,Freshman/Sophomore Seminar
ARCH 84,Sophomore Seminar
ARCH 98,Special Group Study
ARCH 98BC,Berkeley Connect
ARCH 100A,Fundamentals of Architectural Design
ARCH 100B,Fundamentals of Architectural Design
ARCH 100C,Architectural Design III
ARCH 100D,Architectural Design IV
ARCH 102A,Capstone Project Preparation Seminar
ARCH 102B,Architecture Capstone Project
ARCH 105,Deep Green Design
ARCH 107,Introduction to the Practice of Architecture
ARCH 108,Architectural Internship
ARCH 109,Special Topics in Architectural Design
ARCH 110AC,The Social and Cultural Processes in Architecture & Urban Design
ARCH 111,Housing: An International Survey
ARCH 119,Special Topics in the Social and Cultural Basis of Design
ARCH 122,Principles of Computer Aided Architectural Design
ARCH 123,2-D Computer Technology
ARCH 124A,3-D Computer Technology
ARCH 124B,3-D Computer Technology
ARCH 127,Workshop in Designing Virtual Places
ARCH 129,Special Topics in Digital Design Theories and Methods
ARCH 130,Introduction to Architectural Design Theory and Criticism
ARCH 133,Architectures of Globalization: Contested Spaces of Global Culture
ARCH 136,The Literature of Space
ARCH 139,Special Topics in Architectural Design Theory and Criticism
ARCH 140,Energy and Environment
ARCH 142,Sustainability Colloquium
ARCH 144,Introduction to Acoustics
ARCH 149,Special Topics in Energy and Environment
ARCH 150,Introduction to Structures
ARCH 154,Design and Computer Analysis of Structure
ARCH 155,"Structure, Construction, and Space"
ARCH 159,Special Topics in Building Structures
ARCH 160,Introduction to Construction
ARCH 169,Special Topics in Construction Materials
ARCH 170A,An Historical Survey of Architecture and Urbanism
ARCH 170B,An Historical Survey of Architecture and Urbanism
ARCH 173,Case Studies in Modern Architecture
ARCH C174,Architecture in Depression and War
ARCH 175,Introduction to Architectural Theory 1945-Present
ARCH 176,American Architecture
ARCH 178,Visionary Architecture
ARCH 179,Special Topics in the History of Architecture
ARCH 198,Special Group Study
ARCH 198BC,Berkeley Connect
ARCH 199,Supervised Independent Study and Research
ARCH 200A,Introduction to Architecture Studio 1
ARCH 200B,Introduction to Architecture Studio 2
ARCH 200C,Representational Practice in Architectural Design
ARCH 201,Architecture & Urbanism Design Studio
ARCH 202,Graduate Option Studio
ARCH 203,Integrated Design Studio
ARCH 204,Final Project Studio: Studio Thesis Option
ARCH 204A,Thesis Seminar
ARCH 204B,Thesis Studio
ARCH 205A,"Studio One, Fall"
ARCH 205B,"Studio One, Spring"
ARCH 207A,Architecture Lectures Colloquium
ARCH 207B,Architecture Research Colloquium
ARCH 207C,Professional Practice Colloquium
ARCH 207D,The Cultures of Practice
ARCH 209,Special Topics in Architectural Design
ARCH 211,Theory and Methods in the Social and Cultural Basis of Design
ARCH 212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond"
ARCH 215,"Landscape, Architecture, Infrastructure, and Urbanism"
ARCH 216,The Sociology of Taste in Environmental Design
ARCH 217,Social Aspects of Housing Design: Mid-Rise Urbanism
ARCH 218,"Housing, Urbanization, and Urbanism: Design, Planning, and Policy Issues in Developing Countries"
ARCH 219,Special Topics in the Social and Cultural Basis of Design
ARCH 221,Graduate Seminar in Digital Design Theories and Methods
ARCH 222,Principles of Computer Aided Architectural Design
ARCH 226,Collaboration by Digital Design
ARCH 227,Workshop in Designing Virtual Places
ARCH 229,Special Topics in Digital Design Theories and Methods
ARCH 229A,Introduction to Construction Law
ARCH 230,Advanced Architectural Design Theory and Criticism
ARCH 231,Research Methods in Architectural Design Theory and Criticism
ARCH 233,Architectures of Globalization: Contested Spaces of Global Culture
ARCH 236,The Literature of Space
ARCH 237,Ulterior Speculation: Monographs and Manifestos
ARCH 238,The Dialectic of Poetics and Technology
ARCH 239,Special Topics in Architecture Design Theory and Criticism
ARCH 240,Advanced Study of Energy and Environment
ARCH 241,Research Methods in Building Sciences
ARCH 242,Sustainability Colloquium
ARCH 243,Natural Cooling: Sustainable Design for a Warming Planet
ARCH 244,The Secret Life of Buildings
ARCH 245,Daylighting
ARCH 249,Special Topics in the Physical Environment in Buildings
ARCH 253,Seismic Design and Construction
ARCH 255,"Structure, Construction, and Space"
ARCH 256,Structural Design in the Studio
ARCH 259,Special Topics in Building Structures
ARCH 259X,Special Topics: Building Structures
ARCH 260,"Introduction to Construction, Graduate Level"
ARCH 262,Architecture in Detail
ARCH 264,Off-Site Fabrication: Opportunities and Evils
ARCH 265,Japanese Craft and Construction
ARCH 269,Special Topics in Construction and Materials
ARCH 270,History of Modern Architecture
ARCH 271,Methods in Historical Research and Criticism in Architecture
ARCH 273,Case Studies in Modern Architecture
ARCH 275,Introduction to Architectural Theory 1945 - Present
ARCH 276,"Spaces of Recreation and Leisure, 1850-2000"
ARCH 278,Visionary Architecture
ARCH 279,Special Topics in the History of Architecture
ARCH 281,Methods of Inquiry in Architectural Research
ARCH 298,Special Group Study
ARCH 299,Individual Study and Research for Master's and Doctoral Students
ARCH 375,Seminar in the Teaching of Architecture
ARCH 602,Individual Study for Doctoral Students
ARMENI 1A,Introductory Armenian
ARMENI 1B,Introductory Armenian
ARMENI 101A,Continuing Armenian
ARMENI 101B,Continuing Armenian
ARMENI 102,Advanced Readings in Specialized Armenian
ARMENI 124,Armenian Literature in Social Context
ARMENI 126,Armenian Culture and Film
HISTART R1B,Reading and Writing about Visual Experience
HISTART 10,Introduction to Western Art: Ancient to Medieval
